context,instruction,response
I am 22 years old and my name is Sophia,Extract the desired json schema from the given input,"{""age"": 22, ""name"": ""Sophia""}"
I prefer a 5GB data pack and my name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""data_pack"": ""5GB""}"
I am 22 years old and my name is Sarah,Extract the desired json schema from the given input,"{""name"": ""Sarah"", ""age"": 22}"
My name is Jack and I want a 5GB data pack,Extract the desired json schema from the given input,"{""name"": ""Jack"", ""data_pack"": ""5GB""}"
My name is Jaden,Extract the desired json schema from the given input,"{""name"": ""Jaden""}"
I want a 50GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""50GB""}"
I love the color green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
My favorite color is blue,Extract the desired json schema from the given input,"{""favorite_color"": ""blue""}"
My brother lives in London,Extract the desired json schema from the given input,"{""city"": ""London""}"
I prefer a 15GB data pack and my name is Sophia,Extract the desired json schema from the given input,"{""data_pack"": ""15GB"", ""name"": ""Sophia""}"
I'm originally from Paris,Extract the desired json schema from the given input,"{""city"": ""Paris""}"
My favorite color is red and I'm from San Francisco,Extract the desired json schema from the given input,"{""favorite_color"": ""red"", ""city"": ""San Francisco""}"
My favorite color is yellow and I am 22 years old,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow"", ""age"": 22}"
I am 30 years old and my name is John,Extract the desired json schema from the given input,"{""age"": 30, ""name"": ""John""}"
I am 28 years old and my favorite color is green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
The data pack of my choice is 5GB,Extract the desired json schema from the given input,"{""data_pack"": ""5GB""}"
My name is Alexander,Extract the desired json schema from the given input,"{""name"": ""Alexander""}"
I want a 5GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""5GB""}"
I'm 35 years old and I live in Los Angeles,Extract the desired json schema from the given input,"{""age"": 35, ""city"": ""Los Angeles""}"
I'm 30 years young,Extract the desired json schema from the given input,"{""age"": 30}"
I reside in Los Angeles,Extract the desired json schema from the given input,"{""city"": ""Los Angeles""}"
I want a 20GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""20GB""}"
I'm 28 and my favorite color is yellow,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""yellow""}"
I am originally from Tokyo,Extract the desired json schema from the given input,"{""city"": ""Tokyo""}"
My favorite color is yellow and I live in London,Extract the desired json schema from the given input,"{""city"": ""London"", ""favorite_color"": ""yellow""}"
I want a 5GB data pack and my name is David,Extract the desired json schema from the given input,"{""name"": ""David"", ""data_pack"": ""5GB""}"
I prefer a 5GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""5GB""}"
My name is David and I am 35 years old,Extract the desired json schema from the given input,"{""name"": ""David"", ""age"": 35}"
My name is Emily and I'm from Los Angeles,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""city"": ""Los Angeles""}"
My age is 28 years,Extract the desired json schema from the given input,"{""age"": 28}"
I am 22 years old and my favorite color is yellow,Extract the desired json schema from the given input,"{""age"": 22, ""favorite_color"": ""yellow""}"
My name is Sophia and I am from Paris,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""city"": ""Paris""}"
