context,instruction,response
I am from Paris,Extract the desired json schema from the given input,"{""city"": ""Paris""}"
I want a 20GB data pack and my name is David,Extract the desired json schema from the given input,"{""name"": ""David"", ""data_pack"": ""20GB""}"
I am 28 years old and I love the color green,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""green""}"
I'm 30 years old and my name is Alex,Extract the desired json schema from the given input,"{""age"": 30, ""name"": ""Alex""}"
She loves the color green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
I'm 30 years old and love green,Extract the desired json schema from the given input,"{""age"": 30, ""favorite_color"": ""green""}"
I'm 28 and my favorite color is yellow,Extract the desired json schema from the given input,"{""age"": 28, ""favorite_color"": ""yellow""}"
I need a 20GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""20GB""}"
I'm originally from Paris,Extract the desired json schema from the given input,"{""city"": ""Paris""}"
I am 22 years old and my name is Sophia,Extract the desired json schema from the given input,"{""age"": 22, ""name"": ""Sophia""}"
I'm 35 years old and I live in Los Angeles,Extract the desired json schema from the given input,"{""age"": 35, ""city"": ""Los Angeles""}"
I am 22 years old and my favorite color is yellow,Extract the desired json schema from the given input,"{""age"": 22, ""favorite_color"": ""yellow""}"
His name is Michael Davis,Extract the desired json schema from the given input,"{""name"": ""Michael Davis""}"
I am originally from Paris,Extract the desired json schema from the given input,"{""city"": ""Paris""}"
My name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia""}"
My name is Jaden,Extract the desired json schema from the given input,"{""name"": ""Jaden""}"
She prefers a 20GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""20GB""}"
My favorite color is yellow and I prefer a 15GB data pack,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow"", ""data_pack"": ""15GB""}"
My favorite color is yellow and I am 22 years old,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow"", ""age"": 22}"
My name is Sophia and I am from Paris,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""city"": ""Paris""}"
