input,output
I am 22 years old and my name is Sophia,"{""age"": 22, ""name"": ""Sophia""}"
I prefer a 5GB data pack and my name is Sophia,"{""name"": ""Sophia"", ""data_pack"": ""5GB""}"
I am 22 years old and my name is Sarah,"{""name"": ""Sarah"", ""age"": 22}"
My name is Jack and I want a 5GB data pack,"{""name"": ""Jack"", ""data_pack"": ""5GB""}"
My name is Jaden,"{""name"": ""Jaden""}"
I want a 50GB data pack,"{""data_pack"": ""50GB""}"
I love the color green,"{""favorite_color"": ""green""}"
My favorite color is blue,"{""favorite_color"": ""blue""}"
My brother lives in London,"{""city"": ""London""}"
I prefer a 15GB data pack and my name is Sophia,"{""data_pack"": ""15GB"", ""name"": ""Sophia""}"
I'm originally from Paris,"{""city"": ""Paris""}"
My favorite color is red and I'm from San Francisco,"{""favorite_color"": ""red"", ""city"": ""San Francisco""}"
My favorite color is yellow and I am 22 years old,"{""favorite_color"": ""yellow"", ""age"": 22}"
I am 30 years old and my name is John,"{""age"": 30, ""name"": ""John""}"
I am 28 years old and my favorite color is green,"{""age"": 28, ""favorite_color"": ""green""}"
The data pack of my choice is 5GB,"{""data_pack"": ""5GB""}"
My name is Alexander,"{""name"": ""Alexander""}"
I want a 5GB data pack,"{""data_pack"": ""5GB""}"
I'm 35 years old and I live in Los Angeles,"{""age"": 35, ""city"": ""Los Angeles""}"
I'm 30 years young,"{""age"": 30}"
I reside in Los Angeles,"{""city"": ""Los Angeles""}"
I want a 20GB data pack,"{""data_pack"": ""20GB""}"
I'm 28 and my favorite color is yellow,"{""age"": 28, ""favorite_color"": ""yellow""}"
I am originally from Tokyo,"{""city"": ""Tokyo""}"
My favorite color is yellow and I live in London,"{""city"": ""London"", ""favorite_color"": ""yellow""}"
I want a 5GB data pack and my name is David,"{""name"": ""David"", ""data_pack"": ""5GB""}"
I prefer a 5GB data pack,"{""data_pack"": ""5GB""}"
My name is David and I am 35 years old,"{""name"": ""David"", ""age"": 35}"
My name is Emily and I'm from Los Angeles,"{""name"": ""Emily"", ""city"": ""Los Angeles""}"
My age is 28 years,"{""age"": 28}"
I am 22 years old and my favorite color is yellow,"{""age"": 22, ""favorite_color"": ""yellow""}"
My name is Sophia and I am from Paris,"{""name"": ""Sophia"", ""city"": ""Paris""}"
My name is Ahmed and I like 5GB data pack,"{""name"": ""Ahmed"", ""data_pack"": ""5GB""}"
I am originally from Paris,"{""city"": ""Paris""}"
I reside in Chicago,"{""city"": ""Chicago""}"
My favorite color is yellow and I am from Tokyo,"{""favorite_color"": ""yellow"", ""city"": ""Tokyo""}"
I live in New York City,"{""city"": ""New York City""}"
My name is John Doe,"{""name"": ""John Doe""}"
She is 30 years old,"{""age"": 30}"
I'm 30 years old and love green,"{""age"": 30, ""favorite_color"": ""green""}"
I'm 30 years old and love playing soccer,"{""age"": 30}"
I'm 28 and my favorite color is green,"{""age"": 28, ""favorite_color"": ""green""}"
I prefer a 20GB data pack,"{""data_pack"": ""20GB""}"
My home is in Los Angeles,"{""city"": ""Los Angeles""}"
She loves the color green,"{""favorite_color"": ""green""}"
I'm 30 years old and my name is Alex,"{""age"": 30, ""name"": ""Alex""}"
I love the city of Tokyo and my favorite color is red,"{""city"": ""Tokyo"", ""favorite_color"": ""red""}"
My name is Ahmed and I prefer a 20GB data pack,"{""name"": ""Ahmed"", ""data_pack"": ""20GB""}"
I am Emily and I live in London,"{""name"": ""Emily"", ""city"": ""London""}"
I'm from Tokyo and my name is Yui,"{""city"": ""Tokyo"", ""name"": ""Yui""}"
I am from Tokyo and I am 35 years old,"{""city"": ""Tokyo"", ""age"": 35}"
I prefer a 20GB data pack and live in Paris,"{""data_pack"": ""20GB"", ""city"": ""Paris""}"
I live in London and I am 35 years old,"{""city"": ""London"", ""age"": 35}"
I want a 20GB data pack and my name is David,"{""name"": ""David"", ""data_pack"": ""20GB""}"
I want a 5GB data pack and I'm 22,"{""data_pack"": ""5GB"", ""age"": 22}"
I am 30 years old and my name is John,"{""name"": ""John"", ""age"": 30}"
The name of my friend is Alex,"{""name"": ""Alex""}"
Green is my favorite color,"{""favorite_color"": ""Green""}"
Her favorite color is green,"{""favorite_color"": ""green""}"
I am 28 years old and love the color green,"{""age"": 28, ""favorite_color"": ""green""}"
My name is David and I need a 20GB data pack,"{""name"": ""David"", ""data_pack"": ""20GB""}"
I am from Los Angeles,"{""city"": ""Los Angeles""}"
The favorite color of my sister is green,"{""favorite_color"": ""green""}"
I am 28 years old and love green,"{""age"": 28, ""favorite_color"": ""green""}"
My name is Emma and I'm from London,"{""name"": ""Emma"", ""city"": ""London""}"
I am from Chicago and my name is Sophia,"{""name"": ""Sophia"", ""city"": ""Chicago""}"
I prefer 20GB data pack and my name is Rami,"{""name"": ""Rami"", ""data_pack"": ""20GB""}"
I am from Sydney and my favorite color is green,"{""city"": ""Sydney"", ""favorite_color"": ""green""}"
My name is Olivia and I am 28 years old,"{""name"": ""Olivia"", ""age"": 28}"
My hometown is Chicago,"{""city"": ""Chicago""}"
I am 28 years old and I love the color green,"{""age"": 28, ""favorite_color"": ""green""}"
I am Ramesh and I am 30 years old,"{""name"": ""Ramesh"", ""age"": 30}"
My favorite color is green and I'm 22 years old,"{""favorite_color"": ""green"", ""age"": 22}"
His name is Michael Davis,"{""name"": ""Michael Davis""}"
I am from London and my name is Sophia,"{""name"": ""Sophia"", ""city"": ""London""}"
I live in London and I am 32 years old,"{""city"": ""London"", ""age"": 32}"
She prefers a 20GB data pack,"{""data_pack"": ""20GB""}"
My favorite color is yellow and I prefer a 15GB data pack,"{""favorite_color"": ""yellow"", ""data_pack"": ""15GB""}"
My name is Alex and I prefer 20GB data pack,"{""name"": ""Alex"", ""data_pack"": ""20GB""}"
He is 40 years old,"{""age"": 40}"
I need a 20GB data pack,"{""data_pack"": ""20GB""}"
My name is Emily and I am 28 years old,"{""name"": ""Emily"", ""age"": 28}"
I am 30 years old,"{""age"": 30}"
I am from Paris,"{""city"": ""Paris""}"
I want a 20GB data pack and I live in London,"{""data_pack"": ""20GB"", ""city"": ""London""}"
I want to live in Tokyo,"{""city"": ""Tokyo""}"
His name is John Smith,"{""name"": ""John Smith""}"
I am 35 and my name is Michael,"{""age"": 35, ""name"": ""Michael""}"
My name is Emily and I am 28,"{""name"": ""Emily"", ""age"": 28}"
I need a 5GB data pack,"{""data_pack"": ""5GB""}"
My name is Sophia,"{""name"": ""Sophia""}"
I prefer 15GB data pack and I'm 35 years old,"{""data_pack"": ""15GB"", ""age"": 35}"
My name is Jack and I live in Chicago,"{""name"": ""Jack"", ""city"": ""Chicago""}"
I'm 40 and my favorite color is red,"{""age"": 40, ""favorite_color"": ""red""}"
My name is Emily and I am from Paris,"{""name"": ""Emily"", ""city"": ""Paris""}"
I am 40 years old and live in Chicago,"{""age"": 40, ""city"": ""Chicago""}"
My age is 28 and I love reading books,"{""age"": 28}"
I am 29 years old and my name is Sophia,"{""name"": ""Sophia"", ""age"": 29}"
My favorite color is green,"{""favorite_color"": ""green""}"
I am 30 years old and from Paris,"{""age"": 30, ""city"": ""Paris""}"
