context,instruction,response
I am 30 years old and my name is John,Extract the desired json schema from the given input,"{""name"": ""John"", ""age"": 30}"
My name is Emily and I am 28,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""age"": 28}"
I prefer a 5GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""5GB""}"
I prefer a 20GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""20GB""}"
My hometown is Chicago,Extract the desired json schema from the given input,"{""city"": ""Chicago""}"
The data pack of my choice is 5GB,Extract the desired json schema from the given input,"{""data_pack"": ""5GB""}"
I'm 30 years old and love playing soccer,Extract the desired json schema from the given input,"{""age"": 30}"
My age is 28 and I love reading books,Extract the desired json schema from the given input,"{""age"": 28}"
I prefer a 15GB data pack and my name is Sophia,Extract the desired json schema from the given input,"{""data_pack"": ""15GB"", ""name"": ""Sophia""}"
My favorite color is green and I'm 22 years old,Extract the desired json schema from the given input,"{""favorite_color"": ""green"", ""age"": 22}"
My favorite color is red and I'm from San Francisco,Extract the desired json schema from the given input,"{""favorite_color"": ""red"", ""city"": ""San Francisco""}"
My name is Ahmed and I prefer a 20GB data pack,Extract the desired json schema from the given input,"{""name"": ""Ahmed"", ""data_pack"": ""20GB""}"
I want to live in Tokyo,Extract the desired json schema from the given input,"{""city"": ""Tokyo""}"
My name is Emily and I'm from Los Angeles,Extract the desired json schema from the given input,"{""name"": ""Emily"", ""city"": ""Los Angeles""}"
I'm 40 and my favorite color is red,Extract the desired json schema from the given input,"{""age"": 40, ""favorite_color"": ""red""}"
I want a 50GB data pack,Extract the desired json schema from the given input,"{""data_pack"": ""50GB""}"
I prefer 20GB data pack and my name is Rami,Extract the desired json schema from the given input,"{""name"": ""Rami"", ""data_pack"": ""20GB""}"
I am from Chicago and my name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia"", ""city"": ""Chicago""}"
My favorite color is yellow and I am from Tokyo,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow"", ""city"": ""Tokyo""}"
My name is Alexander,Extract the desired json schema from the given input,"{""name"": ""Alexander""}"
