context,instruction,response
My age is 44,Extract the desired json schema from the given input,"{""age"": 44}"
My favorite color is purple,Extract the desired json schema from the given input,"{""favorite_color"": ""purple""}"
My height is 175cm,Extract the desired json schema from the given input,"{""height"": ""175cm""}"
My height is 200cm,Extract the desired json schema from the given input,"{""height"": ""200cm""}"
My height is 185cm,Extract the desired json schema from the given input,"{""height"": ""185cm""}"
My age is 23,Extract the desired json schema from the given input,"{""age"": 23}"
My height is 190cm,Extract the desired json schema from the given input,"{""height"": ""190cm""}"
My age is 58,Extract the desired json schema from the given input,"{""age"": 58}"
My height is 155cm,Extract the desired json schema from the given input,"{""height"": ""155cm""}"
My height is 170cm,Extract the desired json schema from the given input,"{""height"": ""170cm""}"
My height is 175cm,Extract the desired json schema from the given input,"{""height"": ""175cm""}"
My height is 195cm,Extract the desired json schema from the given input,"{""height"": ""195cm""}"
My name is Jane,Extract the desired json schema from the given input,"{""name"": ""Jane""}"
My name is James,Extract the desired json schema from the given input,"{""name"": ""James""}"
My age is 50,Extract the desired json schema from the given input,"{""age"": 50}"
My name is Robert,Extract the desired json schema from the given input,"{""name"": ""Robert""}"
My age is 25,Extract the desired json schema from the given input,"{""age"": 25}"
My height is 200cm,Extract the desired json schema from the given input,"{""height"": ""200cm""}"
My name is Robert,Extract the desired json schema from the given input,"{""name"": ""Robert""}"
My name is Chris,Extract the desired json schema from the given input,"{""name"": ""Chris""}"
My name is Jane,Extract the desired json schema from the given input,"{""name"": ""Jane""}"
My favorite color is green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
My height is 170cm,Extract the desired json schema from the given input,"{""height"": ""170cm""}"
My height is 165cm,Extract the desired json schema from the given input,"{""height"": ""165cm""}"
My height is 190cm,Extract the desired json schema from the given input,"{""height"": ""190cm""}"
My age is 31,Extract the desired json schema from the given input,"{""age"": 31}"
My favorite color is black,Extract the desired json schema from the given input,"{""favorite_color"": ""black""}"
My age is 32,Extract the desired json schema from the given input,"{""age"": 32}"
My height is 155cm,Extract the desired json schema from the given input,"{""height"": ""155cm""}"
My height is 170cm,Extract the desired json schema from the given input,"{""height"": ""170cm""}"
My name is Isabella,Extract the desired json schema from the given input,"{""name"": ""Isabella""}"
My name is Sarah,Extract the desired json schema from the given input,"{""name"": ""Sarah""}"
My favorite color is gray,Extract the desired json schema from the given input,"{""favorite_color"": ""gray""}"
My height is 180cm,Extract the desired json schema from the given input,"{""height"": ""180cm""}"
My name is Chris,Extract the desired json schema from the given input,"{""name"": ""Chris""}"
My name is Charlotte,Extract the desired json schema from the given input,"{""name"": ""Charlotte""}"
My favorite color is yellow,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow""}"
My name is Chris,Extract the desired json schema from the given input,"{""name"": ""Chris""}"
My favorite color is yellow,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow""}"
My age is 60,Extract the desired json schema from the given input,"{""age"": 60}"
My age is 60,Extract the desired json schema from the given input,"{""age"": 60}"
My height is 185cm,Extract the desired json schema from the given input,"{""height"": ""185cm""}"
My name is James,Extract the desired json schema from the given input,"{""name"": ""James""}"
My height is 185cm,Extract the desired json schema from the given input,"{""height"": ""185cm""}"
My name is Ava,Extract the desired json schema from the given input,"{""name"": ""Ava""}"
My height is 190cm,Extract the desired json schema from the given input,"{""height"": ""190cm""}"
My height is 150cm,Extract the desired json schema from the given input,"{""height"": ""150cm""}"
My favorite color is purple,Extract the desired json schema from the given input,"{""favorite_color"": ""purple""}"
My favorite color is yellow,Extract the desired json schema from the given input,"{""favorite_color"": ""yellow""}"
My name is James,Extract the desired json schema from the given input,"{""name"": ""James""}"
My name is Emily,Extract the desired json schema from the given input,"{""name"": ""Emily""}"
My height is 195cm,Extract the desired json schema from the given input,"{""height"": ""195cm""}"
My name is David,Extract the desired json schema from the given input,"{""name"": ""David""}"
My name is Ava,Extract the desired json schema from the given input,"{""name"": ""Ava""}"
My name is Alex,Extract the desired json schema from the given input,"{""name"": ""Alex""}"
My favorite color is green,Extract the desired json schema from the given input,"{""favorite_color"": ""green""}"
My age is 51,Extract the desired json schema from the given input,"{""age"": 51}"
My age is 25,Extract the desired json schema from the given input,"{""age"": 25}"
My age is 24,Extract the desired json schema from the given input,"{""age"": 24}"
My name is Emily,Extract the desired json schema from the given input,"{""name"": ""Emily""}"
My name is Sophia,Extract the desired json schema from the given input,"{""name"": ""Sophia""}"
My favorite color is black,Extract the desired json schema from the given input,"{""favorite_color"": ""black""}"
My height is 150cm,Extract the desired json schema from the given input,"{""height"": ""150cm""}"
My age is 59,Extract the desired json schema from the given input,"{""age"": 59}"
My name is Ava,Extract the desired json schema from the given input,"{""name"": ""Ava""}"
My name is Emma,Extract the desired json schema from the given input,"{""name"": ""Emma""}"
My height is 155cm,Extract the desired json schema from the given input,"{""height"": ""155cm""}"
My age is 33,Extract the desired json schema from the given input,"{""age"": 33}"
My name is Michael,Extract the desired json schema from the given input,"{""name"": ""Michael""}"
My height is 195cm,Extract the desired json schema from the given input,"{""height"": ""195cm""}"
My age is 46,Extract the desired json schema from the given input,"{""age"": 46}"
My height is 180cm,Extract the desired json schema from the given input,"{""height"": ""180cm""}"
My name is John,Extract the desired json schema from the given input,"{""name"": ""John""}"
My age is 23,Extract the desired json schema from the given input,"{""age"": 23}"
My age is 24,Extract the desired json schema from the given input,"{""age"": 24}"
My age is 31,Extract the desired json schema from the given input,"{""age"": 31}"
My age is 37,Extract the desired json schema from the given input,"{""age"": 37}"
My favorite color is black,Extract the desired json schema from the given input,"{""favorite_color"": ""black""}"
My height is 185cm,Extract the desired json schema from the given input,"{""height"": ""185cm""}"
My age is 42,Extract the desired json schema from the given input,"{""age"": 42}"
My height is 185cm,Extract the desired json schema from the given input,"{""height"": ""185cm""}"
My age is 23,Extract the desired json schema from the given input,"{""age"": 23}"
My height is 200cm,Extract the desired json schema from the given input,"{""height"": ""200cm""}"
My age is 21,Extract the desired json schema from the given input,"{""age"": 21}"
My height is 190cm,Extract the desired json schema from the given input,"{""height"": ""190cm""}"
My height is 185cm,Extract the desired json schema from the given input,"{""height"": ""185cm""}"
My name is James,Extract the desired json schema from the given input,"{""name"": ""James""}"
My age is 55,Extract the desired json schema from the given input,"{""age"": 55}"
My age is 26,Extract the desired json schema from the given input,"{""age"": 26}"
My favorite color is red,Extract the desired json schema from the given input,"{""favorite_color"": ""red""}"
My age is 40,Extract the desired json schema from the given input,"{""age"": 40}"
My height is 150cm,Extract the desired json schema from the given input,"{""height"": ""150cm""}"
My name is Jane,Extract the desired json schema from the given input,"{""name"": ""Jane""}"
My favorite color is purple,Extract the desired json schema from the given input,"{""favorite_color"": ""purple""}"
My name is Emma,Extract the desired json schema from the given input,"{""name"": ""Emma""}"
My favorite color is red,Extract the desired json schema from the given input,"{""favorite_color"": ""red""}"
My height is 195cm,Extract the desired json schema from the given input,"{""height"": ""195cm""}"
My name is Ava,Extract the desired json schema from the given input,"{""name"": ""Ava""}"
My favorite color is gray,Extract the desired json schema from the given input,"{""favorite_color"": ""gray""}"
My height is 190cm,Extract the desired json schema from the given input,"{""height"": ""190cm""}"
